motorway,junction_id,name,latitude,longitude
M1,18,Crick Interchange,52.3509813,-1.1544864000000001
M1,19,Catthorpe,52.404362899999995,-1.17697625
M1,20,Misterton Interchange,52.4505397,-1.1923259499999999
M1,21,21,52.6025661,-1.196061
M1,21A,21A,52.6339747,-1.2166399
M1,22,22,52.697769550000004,-1.29143745
M1,23,23,52.76037235,-1.2743039
M1,23A,Finger Farm,52.81790585,-1.3047031
M1,24,24,52.8461801,-1.2974543500000002
M1,24A,24A,52.8589655,-1.3013754
M1,25,Sandiacre Interchange,52.91516795,-1.3000856
M1,26,Nuthall Interchange,52.989433649999995,-1.23650475
M1,27,27,53.0667806,-1.2728151
M1,osm_19732867,Unnamed junction,52.6375396,-1.2213222
M1,osm_19732885,Unnamed junction,52.6478195,-1.2224722
M1,osm_26820083,Unnamed junction,52.6164502,-1.2039013
M1,osm_624528992,Unnamed junction,52.6218719,-1.2074876
M6,1,Rugby,52.40828675,-1.2463858
M6,10,Bentley Interchange,52.58565,-2.0143553
M6,10A,Essington Interchange,52.6271598,-2.0455051
M6,11,Laney Green Interchange,52.6589134,-2.0642635499999997
M6,11A,Saredon,52.674696,-2.0832715
M6,12,Gailey Interchange,52.6905467,-2.1030739
M6,13,Dunston Interchange,52.760243,-2.103989
M6,2,Ansty Interchange,52.438571800000005,-1.4260679
M6,3,Exhall Interchange,52.4628142,-1.4944905
M6,3A,Coleshill Interchange,52.4756568,-1.6765106
M6,4,Coleshill Interchange,52.48093625,-1.70893985
M6,4A,Water Orton Interchange,52.51215,-1.7510667
M6,5,Castle Bromwich Interchange,52.5093756,-1.7877683
M6,6,Gravelly Hill Interchange,52.511741400000005,-1.86381235
M6,7,Great Barr Interchange,52.55216275,-1.93136905
M6,8,Ray Hall Interchange,52.556206849999995,-1.96260755
M6,9,Wednesbury Interchange,52.56678545,-2.00327915
M6,osm_1404335152,Catthorpe,52.4008688,-1.166215
M6,osm_15890827,Unnamed junction,52.4715928,-1.5544257
M6,osm_208652,Unnamed junction,52.470798,-1.5401031
M6,osm_211507,Unnamed junction,52.6396017,-2.0545641
M6,osm_211517,Unnamed junction,52.6477095,-2.0585532
M6,osm_572587,Catthorpe,52.4052889,-1.1917916
